user,key,keyEvent,Time
rakshith,65,Up,140561843
rakshith,77,Down,140561921
rakshith,77,Up,140562000
rakshith,32,Down,140562171
rakshith,32,Up,140562250
rakshith,82,Down,140562546
rakshith,82,Up,140562640
rakshith,65,Down,140562781
rakshith,65,Up,140562890
rakshith,75,Down,140562906
rakshith,75,Up,140563000
rakshith,83,Down,140563171
rakshith,83,Up,140563250
rakshith,72,Down,140563312
rakshith,72,Up,140563406
rakshith,73,Down,140563468
rakshith,73,Up,140563578
rakshith,84,Down,140563640
rakshith,84,Up,140563703
rakshith,72,Down,140563781
rakshith,72,Up,140563875
rakshith,32,Down,140564062
rakshith,32,Up,140564140
rakshith,67,Down,140564640
rakshith,67,Up,140564718
rakshith,72,Down,140564750
rakshith,72,Up,140564828
rakshith,85,Down,140564890
rakshith,85,Up,140564968
rakshith,82,Down,140565093
rakshith,82,Up,140565171
rakshith,67,Down,140565359
rakshith,72,Down,140565453
rakshith,67,Up,140565468
rakshith,72,Up,140565546
rakshith,65,Down,140565609
rakshith,65,Up,140565703
rakshith,85,Down,140565906
rakshith,85,Up,140566015
rakshith,78,Down,140566140
rakshith,78,Up,140566218
rakshith,68,Down,140566265
rakshith,68,Up,140566359
rakshith,73,Down,140566437
rakshith,73,Up,140566515
rakshith,32,Down,140566671
rakshith,32,Up,140566734
rakshith,65,Down,140566859
rakshith,65,Up,140566953
rakshith,77,Down,140566953
rakshith,77,Up,140567031
rakshith,65,Down,140567109
rakshith,65,Up,140567218
rakshith,82,Down,140567500
rakshith,82,Up,140567625
rakshith,78,Down,140567843
rakshith,78,Up,140567968
rakshith,65,Down,140567984
rakshith,65,Up,140568062
rakshith,84,Down,140568218
rakshith,84,Up,140568296
rakshith,72,Down,140568406
rakshith,72,Up,140568484
rakshith,44,Down,140570187
rakshith,44,Up,140570265
rakshith,32,Down,140570390
rakshith,32,Up,140570453
rakshith,80,Down,140570593
rakshith,80,Up,140570687
rakshith,76,Down,140570750
rakshith,76,Up,140570828
rakshith,69,Down,140570875
rakshith,69,Up,140570968
rakshith,65,Down,140571125
rakshith,65,Up,140571296
rakshith,83,Down,140571328
rakshith,83,Up,140571390
rakshith,69,Down,140571531
rakshith,69,Up,140571609
rakshith,32,Down,140571703
rakshith,32,Up,140571765
rakshith,84,Down,140571843
rakshith,84,Up,140571921
rakshith,73,Down,140572531
rakshith,73,Up,140572578
rakshith,8,Down,140573218
rakshith,8,Up,140573312
rakshith,79,Down,140573500
rakshith,79,Up,140573578
rakshith,32,Down,140573718
rakshith,32,Up,140573812
rakshith,77,Down,140573921
rakshith,77,Up,140574000
rakshith,69,Down,140574062
rakshith,69,Up,140574156
rakshith,69,Down,140574281
rakshith,69,Up,140574328
rakshith,84,Down,140574812
rakshith,84,Up,140574906
rakshith,32,Down,140574968
rakshith,32,Up,140575062
rakshith,89,Down,140575453
rakshith,89,Up,140575531
rakshith,79,Down,140575640
rakshith,79,Up,140575750
rakshith,85,Down,140575812
rakshith,85,Up,140575890
rakshith,13,Down,140576078
rakshith,13,Up,140576156
rakshith,27,Down,140577703
urvi,13,Up,140628390
urvi,85,Down,140629421
urvi,85,Up,140629531
urvi,82,Down,140629562
urvi,82,Up,140629640
urvi,86,Down,140629796
urvi,86,Up,140629859
urvi,73,Down,140629906
urvi,73,Up,140629984
